store_id,item_id,wm_yr_wk,sell_price
MH_1,ELECTRONICS_1_CABLE,1801,5.11
MH_1,ELECTRONICS_1_CABLE,1802,5.11
MH_1,ELECTRONICS_1_CABLE,1803,5.11
MH_1,ELECTRONICS_1_CABLE,1804,5.11
MH_1,ELECTRONICS_1_CABLE,1805,5.11
MH_1,ELECTRONICS_1_CABLE,1806,5.11
MH_1,ELECTRONICS_1_CABLE,1807,5.11
MH_1,ELECTRONICS_1_CABLE,1808,5.11
MH_1,ELECTRONICS_1_CABLE,1809,5.11
MH_1,ELECTRONICS_1_CABLE,1810,5.11
MH_1,ELECTRONICS_1_CABLE,1811,5.11
MH_1,ELECTRONICS_1_CABLE,1812,5.11
MH_1,ELECTRONICS_1_CABLE,1813,5.11
MH_1,ELECTRONICS_1_CABLE,1814,5.11
MH_1,ELECTRONICS_1_CABLE,1815,5.11
MH_1,ELECTRONICS_1_CABLE,1816,5.11
MH_1,ELECTRONICS_1_CABLE,1817,5.11
MH_1,ELECTRONICS_1_CABLE,1818,5.11
MH_1,ELECTRONICS_1_CABLE,1819,5.11
MH_1,ELECTRONICS_1_CABLE,1820,5.11
MH_1,ELECTRONICS_1_CABLE,1821,5.11
MH_1,ELECTRONICS_1_CABLE,1822,5.11
MH_1,ELECTRONICS_1_CABLE,1823,5.11
MH_1,ELECTRONICS_1_CABLE,1824,5.11
MH_1,ELECTRONICS_1_CABLE,1825,5.11
MH_1,ELECTRONICS_1_CABLE,1826,5.11
MH_1,ELECTRONICS_1_CABLE,1827,5.11
MH_1,ELECTRONICS_1_CABLE,1828,5.11
MH_1,ELECTRONICS_1_CABLE,1829,5.11
MH_1,ELECTRONICS_1_CABLE,1830,5.11
MH_1,ELECTRONICS_1_CABLE,1831,5.11
MH_1,ELECTRONICS_1_CABLE,1832,5.11
MH_1,ELECTRONICS_1_CABLE,1833,5.11
MH_1,ELECTRONICS_1_CABLE,1834,5.11
MH_1,ELECTRONICS_1_CABLE,1835,5.11
MH_1,ELECTRONICS_1_CABLE,1836,5.11
MH_1,ELECTRONICS_1_CABLE,1837,5.11
MH_1,ELECTRONICS_1_CABLE,1838,5.11
MH_1,ELECTRONICS_1_CABLE,1839,5.11
MH_1,ELECTRONICS_1_CABLE,1840,5.11
MH_1,ELECTRONICS_1_CABLE,1841,5.11
MH_1,ELECTRONICS_1_CABLE,1842,5.11
MH_1,ELECTRONICS_1_CABLE,1843,5.11
MH_1,ELECTRONICS_1_CABLE,1844,5.11
MH_1,ELECTRONICS_1_CABLE,1845,5.11
MH_1,ELECTRONICS_1_CABLE,1846,5.11
MH_1,ELECTRONICS_1_CABLE,1847,5.11
MH_1,ELECTRONICS_1_CABLE,1848,5.11
MH_1,ELECTRONICS_1_CABLE,1849,5.11
MH_1,ELECTRONICS_1_CABLE,1850,5.11
MH_1,ELECTRONICS_1_CABLE,1851,5.11
MH_1,ELECTRONICS_1_CABLE,1852,5.11
MH_1,ELECTRONICS_1_CABLE,1901,5.11
MH_1,ELECTRONICS_1_CABLE,1902,5.11
MH_1,ELECTRONICS_1_CABLE,1903,5.11
MH_1,ELECTRONICS_1_CABLE,1904,5.11
MH_1,ELECTRONICS_1_CABLE,1905,5.11
MH_1,ELECTRONICS_1_CABLE,1906,5.11
MH_1,ELECTRONICS_1_CABLE,1907,5.11
MH_1,ELECTRONICS_1_CABLE,1908,5.11
MH_1,ELECTRONICS_1_CABLE,1909,5.11
MH_1,ELECTRONICS_1_CABLE,1910,5.11
MH_1,ELECTRONICS_1_CABLE,1911,5.11
MH_1,ELECTRONICS_1_CABLE,1912,5.11
MH_1,ELECTRONICS_1_CABLE,1913,5.11
MH_1,ELECTRONICS_1_CABLE,1914,5.11
MH_1,ELECTRONICS_1_CABLE,1915,5.11
MH_1,ELECTRONICS_1_CABLE,1916,5.11
MH_1,ELECTRONICS_1_CABLE,1917,5.11
MH_1,ELECTRONICS_1_CABLE,1918,5.11
MH_1,ELECTRONICS_1_CABLE,1919,5.11
MH_1,ELECTRONICS_1_CABLE,1920,5.11
MH_1,ELECTRONICS_1_CABLE,1921,5.11
MH_1,ELECTRONICS_1_CABLE,1922,5.11
MH_1,ELECTRONICS_1_CABLE,1923,5.11
MH_1,ELECTRONICS_1_CABLE,1924,5.11
MH_1,ELECTRONICS_1_CABLE,1925,5.11
MH_1,ELECTRONICS_1_CABLE,1926,5.11
MH_1,ELECTRONICS_1_CABLE,1927,5.11
MH_1,ELECTRONICS_1_CABLE,1928,5.11
MH_1,ELECTRONICS_1_CABLE,1929,5.11
MH_1,ELECTRONICS_1_CABLE,1930,5.11
MH_1,ELECTRONICS_1_CABLE,1931,5.11
MH_1,ELECTRONICS_1_CABLE,1932,5.11
MH_1,ELECTRONICS_1_CABLE,1933,5.11
MH_1,ELECTRONICS_1_CABLE,1934,5.11
MH_1,ELECTRONICS_1_CABLE,1935,5.11
MH_1,ELECTRONICS_1_CABLE,1936,5.11
MH_1,ELECTRONICS_1_CABLE,1937,5.11
MH_1,ELECTRONICS_1_CABLE,1938,5.11
MH_1,ELECTRONICS_1_CABLE,1939,5.11
MH_1,ELECTRONICS_1_CABLE,1940,5.11
MH_1,ELECTRONICS_1_CABLE,1941,5.11
MH_1,ELECTRONICS_1_CABLE,1942,5.11
MH_1,ELECTRONICS_1_CABLE,1943,5.11
MH_1,ELECTRONICS_1_CABLE,1944,5.11
MH_1,ELECTRONICS_1_CABLE,1945,5.11
MH_1,ELECTRONICS_1_CABLE,1946,5.11
MH_1,ELECTRONICS_1_CABLE,1947,5.11
MH_1,ELECTRONICS_1_CABLE,1948,5.11
MH_1,ELECTRONICS_1_CABLE,1949,5.11
MH_1,ELECTRONICS_1_CABLE,1950,5.11
MH_1,ELECTRONICS_1_CABLE,1951,5.11
MH_1,ELECTRONICS_1_CABLE,1952,5.11
MH_1,ELECTRONICS_1_CABLE,2001,5.11
MH_1,ELECTRONICS_1_CABLE,2002,5.11
MH_1,ELECTRONICS_1_CABLE,2003,5.11
MH_1,ELECTRONICS_1_CABLE,2004,5.11
MH_1,ELECTRONICS_1_CABLE,2005,5.11
MH_1,ELECTRONICS_1_CABLE,2006,5.11
MH_1,ELECTRONICS_1_CABLE,2007,5.11
MH_1,ELECTRONICS_1_CABLE,2008,5.11
MH_1,ELECTRONICS_1_CABLE,2009,5.11
MH_1,ELECTRONICS_1_CABLE,2010,5.11
MH_1,ELECTRONICS_1_CABLE,2011,5.11
MH_1,ELECTRONICS_1_CABLE,2012,5.11
MH_1,ELECTRONICS_1_CABLE,2013,5.11
MH_1,ELECTRONICS_1_CABLE,2014,5.11
